Deficiency Name,Deficiency,Corrective Action,Action Taken,Unit,Unit Cost
(Karnak) Rust/Oxidation - Gutters,Area(s) of rusted gutter need to be treated promptly to stop the existing rust/oxidation from causing permanent deterioration to the metal.,"Remove any debris at time of cleaning. Carefully wire brush away the surface rust, pressure wash, clean, and dry the affected area(s). Apply protective and restorative Karna-Flex (white) coating treatment to the affected area(s).","Removed all debris, brushed away all surface rust, pressure washed, cleaned, and dried the affected area(s). Applied Karna-Flex protective/restorative coating treatment.",LF,$29.00
(Karnak) Rust/Oxidation - Metal Panel(s),Area(s) of rust on metal roofing panel(s) need to be treated promptly to stop the existing rust/oxidation from causing permanent deterioration of the metal roofing panel(s).,"Carefully wire brush away the surface rust, pressure wash, clean, and dry the affected area(s). Apply a multi-layer protective and restorative coating treatment consisting of (1) layer of Karna-Flex (white) coating, (1) layer of reinforcement fabric, and (1) additional layer of Karna-Flex (white) coating.","Brushed away all surface rust, pressure washed, cleaned, and dried the affected area(s). Applied multi-layered Karna-Flex protective/restorative coating treatment with reinforcement fabric.",LF,$40.00
(Rust-Oleum) - Pressure Wash and Rust Treatment,Gutters are showing signs of heavy weathering and oxidation. Failure to address this issue will result in accelerated deterioration of the gutter system; causing leaks inside the building and water damage to the exterior structure of the building.,Remove any debris at time of cleaning. Thoroughly pressure wash and clean the affected area of gutters. Apply Rust-Oleum primer/paint treatment to help decrease the rate of oxidation and to prevent future rusting issues.,All debris was removed and properly disposed of from the gutters. Pressure washed and cleaned the affected area of gutters. Applied Rust-Oleum paint & primer treatment after the gutters had time to dry.,LF,$18.00
2-Layer Tear-Off,Tear-off and remove (1) additional roofing layer.,,,EA,$0.21
A/C - Improper Curb Flashing (large - mod),The existing HVAC roof penetration curb(s) have been improperly flashed/stripped into the roofing system. This issue needs to be addressed as soon as possible to prevent damaging water infiltration.,We will remove any/all damaged or failing curb flashing membrane and ensure the affected area(s) are properly clean and prepped. We will then prime and install new modified membrane to the curb(s) and securely attach with new termination bar.,Removed any/all failing curb flashing membrane. Cleaned and primed the HVAC curb(s). Installed new modified bitumen membrane to the roof and to the curb(s). Securely attached all of the new curb flashing membrane with termination bar.,EA,$975.00
A/C - Improper Curb Flashing (medium - mod),The existing HVAC roof penetration curb(s) have been improperly flashed/stripped into the roofing system. This issue needs to be addressed as soon as possible to prevent damaging water infiltration.,We will remove any/all damaged or failing curb flashing membrane and ensure the affected area(s) are properly clean and prepped. We will then prime and install new modified membrane to the curb(s) and securely attach with new termination bar.,Removed any/all failing curb flashing membrane. Cleaned and primed the HVAC curb(s). Installed new modified bitumen membrane to the roof and to the curb(s). Securely attached all of the new curb flashing membrane with termination bar.,EA,$800.00
A/C - Improper Curb Flashing (small- mod),The existing HVAC roof penetration curb(s) have been improperly flashed/stripped into the roofing system. This issue needs to be addressed as soon as possible to prevent damaging water infiltration.,We will remove any/all damaged or failing curb flashing membrane and ensure the affected area(s) are properly clean and prepped. We will then prime and install new modified membrane to the curb(s) and securely attach with new termination bar.,Removed any/all failing curb flashing membrane. Cleaned and primed the HVAC curb(s). Installed new modified bitumen membrane to the roof and to the curb(s). Securely attached all of the new curb flashing membrane with termination bar.,EA,$700.00
A/C Slip Sheets Missing (mod),A/C unit(s) not on installed on roofing curb require proper modified membrane slip sheets/pads to prevent damage to the roofing system.,Unit(s) and/or wood blocking supports will need to be lifted and new modified membrane slip sheets/pads need to be installed.,Installed new modified bitumen slip sheets/pads under each support/unit.,EA,$80.00
All Flashing Conditions,"Inspect all roof flashings to ensure they are properly sealed and free of voids, punctures, and blisters, and that no open laps exist.",If needed - caulk and seal any open cracks or deficiencies in the existing sealant along flashings.,,EA,$0.00
Alligatoring,Alligatoring is a result of the waterproofing membrane drying out due to UV exposure. This condition can lead to direct water infiltration through the membrane.,The area must be cleaned and prepared. An additional layer of waterproofing membrane would be installed over the alligatored area of membrane per industry standards ensuring a water tight condition.,,SF,$3.50
Base Flashing Deterioration,"Cracked and deteriorated base flashing is caused by the sun, general weathering and the overall age of the roofing system. These cracks, holes and brittle areas are immediate issues that should be repaired ASAP. If the deficiency is not remedied, water WILL penetrate the roofing system. This causes more roofing failures and lead to interior water damage.",The entire section of cracked / deteriorated base flashing will be removed and new quality base flashing material will be installed using the highest industry standards.,,LF,$9.00
Base Flashing Seams,Repair open or loose seams in base flashings.,Properly cleaned and prime the area surrounding the open/loose base flashing seams. Installed a new modified bitumen membrane patch to repair the deficiency.,Properly cleaned and prime the area surrounding the open/loose base flashing seams. Installed a new modified bitumen membrane patch to repair the deficiency.,EA,$0.00
Blisters,"Blisters in the membrane are due to either air or moisture being caught between the plies of the waterproofing system. As expansion and contraction occur, what was once a small deficiency enlarges greatly, cracks and allows water into the roof system and building.","The blister must be X cut, filled with a waterproofing agent and re-sealed per industry standards.",,EA,$350.00
